# units Angstroms
# C75 = Crosswhite, H.M., 1975, J Res Natl Bur Stand A Phys Chem., 79A(1): 17-69
#       doi: 10.6028/jres.079A.002
wave_air  element ion   int source intlev
--------- ------- --- ----- ------ ------
3465.8603      Fe   I  1200   C75
3490.5737      Fe   I  2500   C75
3581.1925      Fe   I  4000   C75
3608.8587      Fe   I  1500   C75
3618.7676      Fe   I  1500   C75
3631.4629      Fe   I  1200   C75
3647.8424      Fe   I  1500   C75
3679.9132      Fe   I  1500   C75
3705.5657      Fe   I  1200   C75
3719.9346      Fe   I  8000   C75
3745.5608      Fe   I  6000   C75       4
3820.4251      Fe   I  2500   C75       4
3856.3717      Fe   I  2500   C75       4
3859.9114      Fe   I 10000   C75       3
3878.5730      Fe   I  2000   C75       4
3886.2820      Fe   I  4000   C75       3
3895.6558      Fe   I   800   C75       4
3899.7073      Fe   I  1200   C75       4
3902.9452      Fe   I   400   C75       4
3906.4794      Fe   I   250   C75       4
3920.2577      Fe   I   600   C75       4
3922.9115      Fe   I  1200   C75       
3930.2962      Fe   I  2000   C75       4
3969.2570      Fe   I   100   C75       4
4005.2414      Fe   I   400   C75       4
4045.8130      Fe   I  4000   C75       2
4063.5939      Fe   I  1500   C75       3
4118.5442      Fe   I   150   C75            
4143.8688      Fe   I   800   C75       3
4198.3036      Fe   I   150   C75       2
4216.1828      Fe   I   400   C75       4
4222.6373      Fe   I  1200   C75
4271.7593      Fe   I  1200   C75       3
4294.1243      Fe   I    12   C75       4
4307.9015      Fe   I  1200   C75       3
4315.0837      Fe   I   150   C75       4
4325.7615      Fe   I  1500   C75       3
4375.9294      Fe   I   800   C75       3
4383.5445      Fe   I  3000   C75       2
4404.7499      Fe   I  1200   C75       3
4415.1222      Fe   I   300   C75       4
4461.6521      Fe   I   400   C75       4
4466.5508      Fe   I   120   C75       4
4647.4329      Fe   I    30   C75       4
4859.7406      Fe   I    50   C75
4920.5018      Fe   I   500   C75       4
4957.5966      Fe   I  1500   C75       3
5051.6336      Fe   I    30   C75       4
5083.3377      Fe   I    20   C75       
5110.3849      Fe   I                   4
5167.4873      Fe   I  2500   C75       2
5171.5953      Fe   I   500   C75       4
5194.9412      Fe   I   200   C75       4
5227.1697      Fe   I                   2
5232.9394      Fe   I   250   C75       4
5269.5366      Fe   I  1200   C75       1
5283.6206      Fe   I    60   C75       
5324.1782      Fe   I   150   C75       
5328.0376      Fe   I   800   C75       2
5341.0233      Fe   I   500   C75       
5371.4892      Fe   I   400   C75       2
5397.1269      Fe   I   300   C75       3
5405.7741      Fe   I   250   C75       3
5415.1997      Fe   I    60   C75       
5429.6955      Fe   I   250   C75       3
5434.5228      Fe   I   100   C75       4
5446.8937      Fe   I                   3
5455.6090      Fe   I   120   C75       3
5586.7553      Fe   I   120   C75       4
5615.6436      Fe   I                   3
6191.5583      Fe   I    40   C75          
6230.7260      Fe   I    40   C75       4
6252.5537      Fe   I    30   C75       4
8688.6213      Fe   I   150   C75       4
