# source: SS04: Saloman & Sansonetti, 2004, JPCRD, 33, 1113
 wave_air      k        int element ion source
--------- ---------- ------ ------- --- ------
4939.041  20241.196    1000     Ne   I   SS04
5400.5616 18511.4462  20000     Ne   I   SS04
5764.4188 17342.9928   7000     Ne   I   SS04 
5852.4878 17082.0157  20000     Ne   I   SS04
5944.8340 16816.6685   5000     Ne   I   SS04
6029.9968 16579.1656  10000     Ne   I   SS04
6074.3376 16458.1438  10000     Ne   I   SS04
6096.1630 16399.2211   3000     Ne   I   SS04
6143.0627 16274.0210  10000     Ne   I   SS04
6163.5937 16219.8125  10000     Ne   I   SS04
6217.2812 16079.7523  10000     Ne   I   SS04
6266.4952 15953.4708  10000     Ne   I   SS04
6334.4276 15782.3821  10000     Ne   I   SS04
6382.9914 15662.3058  10000     Ne   I   SS04
6402.248  15615.197   20000     Ne   I   SS04
6506.5277 15364.9354  15000     Ne   I   SS04
6532.8824 15302.9512   1000     Ne   I   SS04
6598.9528 15149.7353  10000     Ne   I   SS04
6678.2766 14969.7898   5000     Ne   I   SS04
6717.0430 14883.3945    700     Ne   I   SS04
6929.4672 14427.1441 100000     Ne   I   SS04
7032.4128 14215.9504  85000     Ne   I   SS04
7173.9380 13935.5044  77000     Ne   I   SS04
7245.1665 13798.5028  77000     Ne   I   SS04
7438.8981 13439.1498  60000     Ne   I   SS04
7488.8712 13349.4711  32000     Ne   I   SS04
7943.1805 12585.9535   7900     Ne   I   SS04
8082.4576 12369.0732   5700     Ne   I   SS04
8118.5495 12314.0853   3800     Ne   I   SS04
8136.4061 12287.0603  17000     Ne   I   SS04
8300.3248 12044.4108  29000     Ne   I   SS04
8377.6070 11933.3034  76000     Ne   I   SS04
8417.1597 11877.2284   2700     Ne   I   SS04
8418.4265 11875.4411  26000     Ne   I   SS04
8495.3591 11767.8995  69000     Ne   I   SS04
8591.2583 11636.5419  41000     Ne   I   SS04
8634.6472 11578.0688  35000     Ne   I   SS04
8654.3828 11551.6661  64000     Ne   I   SS04
8780.6223 11385.5878  57000     Ne   I   SS04
8853.8669 11291.3996  27000     Ne   I   SS04
8865.7562 11276.2575  15000     Ne   I   SS04
