# units Angstroms
  wave_air     wn          int     kl    Jl   ku     Ju  note element ion source 
---------- ---------- -------- ------- ---- ------ ---- ----- ------- --- ------
 3006.9314 33246.8052   11.114   12488  4.5  45735  5.5 110.5      Th  II   PE83
 3012.7078 33183.0632    4.444    6213  4.5  39396  3.5 108.4      Th  II   PE83
 3015.7252 33149.8630    3.299   42352  2.5   9202  3.5 110.9      Th  II   PE83
 3017.1322 33134.4044    3.054   43807  1.5  10673  2.5 107.8      Th  II   PE83
 3018.4900 33119.5007    8.103   13248  4.5  46368  4.5 110.5      Th  II   PE83
 3019.4219 33109.2787    4.982   41488  3.5   8378  3.5 111.0      Th  II   PE83
 3030.4878 32988.3849    9.835    4961  4    37950  4   105.9      Th   I   PE83
 3038.5987 32900.3321    4.884   39068  3.5   6168  3.5 107.7      Th  II   PE83
 3046.9513 32810.1468   11.617   46216  5.5  13406  6.5 110.3      Th  II   PE83
 3047.8163 32800.8352    6.139    3687  2    36488  2   108.2      Th   I   PE83
 3049.0924 32787.1081   20.177   37277  3.5   4490  2.5 107.3      Th  II   PE83
 3060.4390 32665.5549   30.429       0  2    32665  1   107.2      Th   I   PE83
 3067.7294 32587.9284   27.966   13250  2.5  45838  1.5 109.0      Th  II   PE83
 3068.9075 32575.4194   11.886       0  2    32575  2   104.8      Th   I   PE83
 3072.1150 32541.4093   21.082    4146  3.5  36687  2.5 107.0      Th  II   PE83
 3072.8252 32533.8883    7.428   46352  3.5  13818  3.5 109.6      Th  II   PE83
 3075.0565 32510.2823   14.741   24381  3.5  56892  2.5 107.3      Th  II   PE83
 3078.8280 32470.4595   30.584    4113  2.5  36583  3.5 108.1      Th  II   PE83
 3080.2170 32455.8176   31.347   42644  6.5  10189  5.5 108.4      Th  II   PE83
 3090.0938 32352.0848    7.184    1859  1.5  34212  2.5 107.2      Th  II   PE83
 3097.2672 32277.1586    5.006    4113  2.5  36390  1.5 107.4      Th  II   PE83
 3100.9383 32238.9486   14.252   12488  4.5  44727  5.5 108.5      Th  II   PE83
 3102.6639 32221.0181   11.990   38389  3.5   6168  3.5 106.5      Th  II   PE83
 3105.7474 32189.0295   15.671   41909  4.5   9720  3.5 108.0      Th  II   PE83
 3107.0261 32175.7823   10.112   38867  0.5   6691  1.5 109.1      Th  II   PE83
 3108.2968 32162.6295   39.350   38862  5.5   6700  4.5 107.3      Th  II   PE83
 3110.0209 32144.8001   14.291   38836  1.5   6691  1.5 107.3      Th  II   PE83
 3116.2630 32080.4139   20.045       0  2    32080  1   107.1      Th   I   PE83
 3117.6840 32065.7929    8.309   38757  1.5   6691  1.5 107.6      Th  II   PE83
 3119.5262 32046.8573   36.454    4146  3.5  36193  4.5 106.0      Th  II   PE83
 3120.8808 32032.9480    7.012    2558  0    34591  1   103.7      Th   I   PE83
 3122.9634 32011.5878   17.797   38179  4.5   6168  3.5 106.0      Th  II   PE83
 3124.3874 31996.9983   17.999   38165  3.5   6168  3.5 107.7      Th  II   PE83
 3134.4257 31894.5282   11.191   46378  6.5  14484  5.5 108.8      Th  II   PE83
 3136.2161 31876.3216   25.260    4961  4    36837  5   105.7      Th   I   PE83
 3136.8293 31870.0906   15.511       0  2    31870  2   104.9      Th   I   PE83
 3140.2720 31835.1520   18.960    2869  3    34704  3   105.0      Th   I   PE83
 3141.8472 31819.1916    6.590   39150  1.5   7331  2.5 108.2      Th  II   PE83
 3142.8356 31809.1854   14.110   41047  4.5   9238  4.5 106.9      Th  II   PE83
 3145.6370 31780.8584   20.761       0  2    31780  3   104.3      Th   I   PE83
 3146.0434 31776.7534   13.157   37945  2.5   6168  3.5 107.8      Th  II   PE83
 3147.4486 31762.5666    2.158    8111  4    39873  5   121.3      Th   I   PE83
 3150.4551 31732.2568    9.379   46216  5.5  14484  5.5 109.4      Th  II   PE83
 3151.6467 31720.2599    3.548   41909  4.5  10189  5.5 108.4      Th  II   PE83
 3154.3009 31693.5695   23.209    1521  2.5  33215  1.5 107.1      Th  II   PE83
 3155.8302 31678.2115    5.834   41398  4.5   9720  3.5 107.7      Th  II   PE83
 3156.4006 31672.4864    5.296   37840  4.5   6168  3.5 107.3      Th  II   PE83
 3167.5607 31560.9015    4.838   46910  6.5  15349  5.5 111.7      Th  II   PE83
 3171.2755 31523.9325   13.681       0  2    31523  3   104.7      Th   I   PE83
 3172.1112 31515.6275    6.013                          108.6      Th       PE83
 3173.4267 31502.5641   21.997    2869  3    34371  2   104.1      Th   I   PE83
 3174.2043 31494.8462    9.163    1859  1.5  33354  2.5 105.2      Th  II   PE83
 3175.7257 31479.7585   18.244   38179  4.5   6700  4.5 106.5      Th  II   PE83
 3176.1671 31475.3844    4.926    2869  3    34344  4   104.1      Th   I   PE83
 3178.2433 31454.8235   27.402    2869  3    34324  2   105.7      Th   I   PE83
 3179.0482 31446.8599   23.817    4146  3.5  35593  4.5 105.9      Th  II   PE83
 3180.1938 31435.5326   83.155    1521  2.5  32957  3.5 104.9      Th  II   PE83
 3181.6722 31420.9254    9.052                          105.0      Th       PE83
